rowid,kepid,kepoi_name,kepler_name,koi_disposition,koi_pdisposition,koi_score,koi_fpflag_nt,koi_fpflag_ss,koi_fpflag_co,koi_fpflag_ec,koi_period,koi_period_err1,koi_period_err2,koi_time0bk,koi_time0bk_err1,koi_time0bk_err2,koi_impact,koi_impact_err1,koi_impact_err2,koi_duration,koi_duration_err1,koi_duration_err2,koi_depth,koi_depth_err1,koi_depth_err2,koi_prad,koi_prad_err1,koi_prad_err2,koi_teq,koi_teq_err1,koi_teq_err2,koi_insol,koi_insol_err1,koi_insol_err2,koi_model_snr,koi_tce_plnt_num,koi_tce_delivname,koi_steff,koi_steff_err1,koi_steff_err2,koi_slogg,koi_slogg_err1,koi_slogg_err2,koi_srad,koi_srad_err1,koi_srad_err2,ra,dec,koi_kepmag
7986,8155654,K06980.01,,CANDIDATE,CANDIDATE,0.9430,0,0,0,0,6.293405430,9.8260000e-05,-9.8260000e-05,133.8686000,1.290000e-02,-1.290000e-02,0.4310,0.0320,-0.4310,3.02400,0.41300,-0.41300,9.6400e+01,1.390e+01,-1.390e+01,1.08,3.800e-01,-1.100e-01,1072.0,,,312.61,327.36,-91.29,8.70,1,q1_q17_dr25_tce,6214.00,167.00,-223.00,4.442,0.056,-0.224,1.0760,0.3840,-0.1020,287.941650,44.008018,15.186
7175,8168581,K06054.01,,FALSE POSITIVE,FALSE POSITIVE,0.0000,0,1,0,0,2.881338104,3.2820000e-06,-3.2820000e-06,132.9093190,9.610000e-04,-9.610000e-04,1.2710,4.2060,-0.0400,3.59430,0.04080,-0.04080,2.5337e+03,2.730e+01,-2.730e+01,31.58,9.400e+00,-2.940e+00,1206.0,,,501.88,442.73,-144.40,111.30,1,q1_q17_dr25_tce,5783.00,163.00,-204.00,4.539,0.035,-0.196,0.8800,0.2620,-0.0820,292.849730,44.060638,15.139
5606,8175131,K02139.01,,FALSE POSITIVE,FALSE POSITIVE,0.0000,0,0,1,0,4.271219610,1.1040000e-05,-1.1040000e-05,132.1046600,2.590000e-03,-2.590000e-03,0.6360,0.3030,-0.4060,2.92830,0.07830,-0.07830,9.6670e+02,2.920e+01,-2.920e+01,2.17,1.700e-01,-2.100e-01,802.0,,,97.84,33.27,-28.87,38.00,1,q1_q17_dr25_tce,4702.00,168.00,-168.00,4.602,0.063,-0.032,0.6700,0.0530,-0.0650,295.002930,44.092030,15.938
7019,8222395,K07873.01,,CANDIDATE,CANDIDATE,0.9650,0,0,0,0,1.931887680,1.0350000e-05,-1.0350000e-05,133.1676000,4.780000e-03,-4.780000e-03,0.2560,0.2090,-0.2560,1.08700,0.17800,-0.17800,3.7800e+01,5.900e+00,-5.900e+00,0.57,1.600e-01,-6.000e-02,1427.0,,,977.65,808.79,-272.06,8.80,1,q1_q17_dr25_tce,5896.00,132.00,-176.00,4.516,0.050,-0.200,0.9140,0.2680,-0.0890,287.370390,44.187988,13.500
8553,8234889,K05490.01,,FALSE POSITIVE,FALSE POSITIVE,,1,0,0,0,116.301793000,1.7980000e-03,-1.7980000e-03,168.3304000,1.120000e-02,-1.120000e-02,0.4631,0.0234,-0.4631,2.25300,0.44300,-0.44300,6.4900e+02,1.340e+02,-1.340e+02,2.18,8.300e-01,-1.700e-01,336.0,,,3.01,3.43,-0.71,6.30,1,q1_q16_tce,5593.00,163.00,-148.00,4.552,0.029,-0.263,0.8420,0.3210,-0.0650,292.387240,44.130070,15.503
5816,8260234,K02085.01,,FALSE POSITIVE,FALSE POSITIVE,0.0000,0,0,1,1,5.714838730,3.4630000e-05,-3.4630000e-05,132.1304600,5.350000e-03,-5.350000e-03,0.1340,0.3260,-0.1340,2.74800,0.14800,-0.14800,2.8620e+02,1.790e+01,-1.790e+01,1.26,1.800e-01,-1.400e-01,842.0,,,118.73,56.57,-33.59,18.00,1,q1_q17_dr25_tce,5193.00,155.00,-139.00,4.535,0.090,-0.108,0.7550,0.1100,-0.0800,299.789460,44.171001,14.167
1072,8266276,K01731.01,,CANDIDATE,CANDIDATE,0.8090,0,0,0,0,2.594884430,1.0620000e-05,-1.0620000e-05,132.7565800,3.650000e-03,-3.650000e-03,0.8850,0.0800,-0.6380,1.68400,0.11200,-0.11200,5.9220e+02,4.640e+01,-4.640e+01,2.36,1.300e-01,-2.400e-01,1014.0,,,249.92,70.17,-72.49,14.90,1,q1_q17_dr25_tce,4748.00,172.00,-153.00,4.526,0.071,-0.038,0.7970,0.0430,-0.0800,301.469300,44.159649,15.720
4784,8266276,K01731.02,,FALSE POSITIVE,FALSE POSITIVE,0.0220,0,0,1,0,0.837898153,5.3560000e-06,-5.3560000e-06,131.9818700,6.580000e-03,-6.580000e-03,0.0710,0.3890,-0.0710,2.10400,0.20300,-0.20300,2.6890e+02,2.370e+01,-2.370e+01,1.26,6.000e-02,-1.300e-01,1478.0,,,1128.57,316.83,-327.36,13.90,2,q1_q17_dr25_tce,4748.00,172.00,-153.00,4.526,0.071,-0.038,0.7970,0.0430,-0.0800,301.469300,44.159649,15.720
4659,8288741,K04888.01,,FALSE POSITIVE,FALSE POSITIVE,,1,0,0,0,0.659299289,1.2000000e-07,-1.2000000e-07,131.7387270,1.540000e-04,-1.540000e-04,1.2873,0.4658,-0.0819,0.69080,0.01550,-0.01550,1.1185e+03,8.500e+00,-8.500e+00,30.54,1.323e+01,-2.760e+00,1979.0,,,3623.47,4664.31,-918.37,108.60,,,5791.00,158.00,-147.00,4.524,0.045,-0.290,0.8520,0.3690,-0.0770,287.367860,44.273220,14.499
6683,8300828,K05501.01,,FALSE POSITIVE,FALSE POSITIVE,,1,0,0,0,48.920056300,5.9080000e-04,-5.9080000e-04,163.9628000,1.040000e-02,-1.040000e-02,0.6077,0.0151,-0.4860,2.29500,0.45000,-0.45000,3.3390e+02,6.340e+01,-6.340e+01,1.71,1.100e+00,-2.200e-01,456.0,,,10.22,21.30,-3.31,7.00,1,q1_q16_tce,5375.00,178.00,-150.00,4.433,0.115,-0.406,0.8990,0.5800,-0.1170,292.224820,44.292770,14.981
