1,11496840
2,11497236
3,11548779
4,11600744
6,11651634
8,11652704
10,11653019
14,11701589
15,11701765
18,11702468
20,11703086
22,11752690
25,11754177
27,11755212
29,11804422
30,11805123
31,11805143
35,11855334
37,11855853
39,11905430
43,11955208
44,11955485
45,12003895
46,12004795
48,12004872
52,12101934
55,6496872
56,6664386
57,6497146
61,6664639
62,6664748
65,6666233
73,6752213
74,6752578
76,6837702
77,6838113
80,6921817
82,6922010
83,6923995
87,7008143
88,7008589
89,7009163
91,7090779
92,7091150
93,7091649
94,7091787
95,7092051
96,7093310
98,7094109
101,7174385
103,7336315
105,7337334
106,7337588
107,7337770
109,7417788
112,7418897
114,7419248
115,7501618
116,7583577
117,7583798
121,5597695
123,5682522
124,5683912
125,5684429
127,5769095
128,5769943
129,5853070
130,5853849
131,5854592
132,5855808
133,5855851
135,5937213
136,5937264
137,5938531
138,5938905
139,5938981
146,6020355
147,6020691
149,6099502
151,6100168
154,6102845
155,6103125
157,6181204
158,6181526
159,6181761
161,6183400
162,6183511
165,6183859
167,6263060
169,6265107
170,6343410
172,6421689
173,6500181
175,3939189
176,4140231
180,4349469
184,4544623
185,4544639
186,4544783
187,4544988
188,4545041
191,4545964
194,4638070
197,4729962
198,4730040
201,4818821
203,4819766
207,4995581
211,11957538
212,11957647
215,12007066
216,12007354
217,12007544
221,12104366
224,12105867
227,12152688
228,12154703
229,12154913
231,12201933
233,12203082
236,12203540
237,12204025
238,12204358
240,12204700
243,12251699
244,12251852
245,12251877
246,12252040
248,12254051
249,12300406
250,12302604
252,12350839
257,12400394
260,12402770
261,12403318
264,12454007
267,12505250
268,12505701
270,12552699
271,12552869
272,12598711
273,12598901
274,2837046
278,3102763
282,3221339
283,3328254
284,3329985
285,3330684
289,3533437
291,3631048
294,3634308
295,3634402
298,3732401
299,3732804
300,3733158
301,3733753
303,3836257
305,3837858
306,3838294
308,3838516
315,4043862
319,4142913
320,4143184
321,4143926
323,4248433
324,4248533
328,10206793
334,10274090
335,10275253
340,10340598
342,10402088
344,10404115
346,10404696
352,10471434
356,10534762
357,10535074
358,10535396
359,10535858
366,10599274
367,10600817
370,10665436
371,10665619
374,10731839
376,10795891
381,10920281
383,10538002
384,10602294
388,10670119
389,10733307
397,10803430
399,10862550
404,10924100
405,10977498
407,11031515
410,11033251
412,11085850
414,11140425
416,11193890
420,8499971
421,8500111
424,8564198
425,8564323
427,8565914
428,8631743
429,8631751
430,8759399
431,8761464
435,8823426
439,8825565
440,8825951
442,8889176
443,8891970
449,8960906
450,8961162
453,9026015
454,9026334
455,9028977
456,9092592
459,9094000
460,9159060
461,9160884
462,9222296
463,9224514
465,4999583
467,5000970
468,5087108
469,5087223
471,5175065
472,5175240
475,5262561
478,5266549
481,5351480
483,5353335
484,5353762
486,5354341
489,5435958
491,5437354
492,5437459
493,5438784
494,5438886
498,5607395
499,5608002
500,5608021
504,5693298
510,5949548
518,10592430
519,10067340
520,10132973
523,10200280
526,10265780
530,10267364
531,10267577
534,10331532
541,10398659
544,10462462
546,10525691
547,10525990
548,10526037
551,10591522
560,10659585
561,10722210
566,10789903
567,10790812
572,6510978
574,6029053
578,6192309
579,6271033
580,6272526
581,6352355
582,6352901
584,6430151
586,6507276
588,6508734
590,6510539
591,6590263
592,6592335
598,6761765
599,6761974
601,6762389
602,6763067
603,6763092
605,6847171
606,6848842
607,6849112
608,6934004
611,7019844
613,7103501
615,5640085
620,5812016
621,5894341
622,5895919
623,5977899
624,5977935
625,6060042
629,6224166
632,6382217
634,6541829
635,6773862
637,6363125
639,6363613
642,6521526
644,6604265
648,6607660
651,6692320
656,6776936
657,6860138
658,6862296
659,6863158
661,6864295
663,6945041
674,7117506
677,7118116
678,7199756
679,7200148
683,1872885
685,1873543
688,2164791
691,2446934
693,2447737
694,2449101
695,2451529
698,2581298
700,2721113
701,2859114
703,2992668
705,2998208
711,4164310
712,4164424
713,4270441
714,4270856
715,4272610
717,4370970
719,4470937
723,4568065
725,4571091
730,4840079
732,4844987
735,4932287
736,4932675
740,4443342
741,4443364
742,4443393
743,4443419
748,4443508
749,4443512
752,4540403
754,4540486
758,4540549
759,4540592
760,4540598
761,4540632
763,4540657
764,4540673
766,4540698
767,4540703
768,4540705
771,4540719
773,4540727
776,4540753
777,4540778
779,4540816
783,4540891
784,4540916
787,4541008
788,4541133
790,4633064
793,4633115
795,4633145
797,4633238
799,4633283
800,4633285
801,4633350
805,4633422
806,4633434
807,4633446
810,4633468
811,4633469
816,4633577
820,4633692
824,4633725
826,4633779
827,4633803
828,4633830
830,4633907
832,4633961
835,4633992
838,4634051
839,4634064
